,size,avg,pr,slope,interaction
262,500,16.0,0.5,0.37700786573187434,degree
263,500,16.0,0.5,0.4242267859094824,distance
264,500,16.0,0.0,0.011767230708257907,random
265,500,16.0,0.0,0.009267412158001021,ordered
266,500,16.0,0.0,0.011336549422470869,degree
267,500,16.0,0.0,0.011593712495545817,distance
268,500,16.0,0.1,0.10070677696020489,random
269,500,16.0,0.1,0.10214247753002755,ordered
270,500,16.0,0.1,0.09485382996483488,degree
271,500,16.0,0.1,0.20767599564710296,distance
272,500,16.0,0.2,0.1690836828566512,random
273,500,16.0,0.2,0.1748923384996593,ordered
274,500,16.0,0.2,0.1728591024320963,degree
275,500,16.0,0.2,0.31139136873561946,distance
276,500,16.0,0.30000000000000004,0.23598067640031184,random
277,500,16.0,0.30000000000000004,0.25517646503395397,ordered
278,500,16.0,0.30000000000000004,0.2372744982131249,degree
279,500,16.0,0.30000000000000004,0.35930567812024,distance
280,500,16.0,0.4,0.3161600378807133,random
281,500,16.0,0.4,0.35934425345912785,ordered
282,500,16.0,0.4,0.3222221394334014,degree
283,500,16.0,0.4,0.40364930995581244,distance
284,500,16.0,0.5,0.38524221142588755,random
285,500,16.0,0.5,0.42556097272897836,ordered
286,500,16.0,0.5,0.3854369577245432,degree
287,500,16.0,0.5,0.42594131103207794,distance
288,500,18.0,0.0,0.011247017580134456,random
289,500,18.0,0.0,0.011531726055555488,ordered
290,500,18.0,0.0,0.013591638353081161,degree
291,500,18.0,0.0,0.011645146773840638,distance
292,500,18.0,0.1,0.09175231810912704,random
293,500,18.0,0.1,0.10039418891931891,ordered
294,500,18.0,0.1,0.09619580274689292,degree
295,500,18.0,0.1,0.21884882186640442,distance
296,500,18.0,0.2,0.18430598547859972,random
297,500,18.0,0.2,0.19039035246446018,ordered
298,500,18.0,0.2,0.17786233021658363,degree
299,500,18.0,0.2,0.3297842735901404,distance
300,500,18.0,0.30000000000000004,0.25777119042111124,random
301,500,18.0,0.30000000000000004,0.27406856100270494,ordered
302,500,18.0,0.30000000000000004,0.25449718735338794,degree
303,500,18.0,0.30000000000000004,0.386492294183365,distance
304,500,18.0,0.4,0.33469349916058766,random
305,500,18.0,0.4,0.3534458256215996,ordered
306,500,18.0,0.4,0.32619591202709347,degree
307,500,18.0,0.4,0.4186232469208857,distance
308,500,18.0,0.5,0.39846121049870764,random
309,500,18.0,0.5,0.442547980622534,ordered
310,500,18.0,0.5,0.39594648374876973,degree
311,500,18.0,0.5,0.43797528446716755,distance
312,500,18.0,0.0,0.012146794380976423,random
313,500,18.0,0.0,0.010300770520990498,ordered
314,500,18.0,0.0,0.01106601939417221,degree
315,500,18.0,0.0,0.009686104665278101,distance
316,500,18.0,0.1,0.09515599392783233,random
317,500,18.0,0.1,0.10157417953818926,ordered
318,500,18.0,0.1,0.09465663433758247,degree
319,500,18.0,0.1,0.21922820920083796,distance
320,500,18.0,0.2,0.1598438996327835,random
321,500,18.0,0.2,0.16840978240172338,ordered
322,500,18.0,0.2,0.16467785163768045,degree
323,500,18.0,0.2,0.30400745535805074,distance
324,500,18.0,0.30000000000000004,0.2554985096948412,random
325,500,18.0,0.30000000000000004,0.27074532930267237,ordered
326,500,18.0,0.30000000000000004,0.2529204515094737,degree
327,500,18.0,0.30000000000000004,0.39206386669167526,distance
328,500,18.0,0.4,0.3317999279677443,random
329,500,18.0,0.4,0.3701308708029801,ordered
330,500,18.0,0.4,0.3327651603386324,degree
331,500,18.0,0.4,0.42270587857707315,distance
332,500,18.0,0.5,0.40522417314160053,random
333,500,18.0,0.5,0.43181675780019857,ordered
334,500,18.0,0.5,0.3910573981416943,degree
335,500,18.0,0.5,0.437598653290398,distance
336,500,20.0,0.0,0.011003176087920804,random
337,500,20.0,0.0,0.010172553337848151,ordered
338,500,20.0,0.0,0.008986964604522862,degree
339,500,20.0,0.0,0.00971677615578034,distance
340,500,20.0,0.1,0.09327017263366526,random
341,500,20.0,0.1,0.09565430492310598,ordered
342,500,20.0,0.1,0.09186980028049727,degree
343,500,20.0,0.1,0.21360564959194234,distance
344,500,20.0,0.2,0.1788438233634428,random
345,500,20.0,0.2,0.19280587919077974,ordered
346,500,20.0,0.2,0.1795642234206162,degree
347,500,20.0,0.2,0.3560165362119068,distance
348,500,20.0,0.30000000000000004,0.2655025131947311,random
349,500,20.0,0.30000000000000004,0.2852158628819585,ordered
350,500,20.0,0.30000000000000004,0.26959999758499376,degree
351,500,20.0,0.30000000000000004,0.390132801976784,distance
352,500,20.0,0.4,0.34635631505817377,random
353,500,20.0,0.4,0.3593451264556406,ordered
354,500,20.0,0.4,0.34910019763054,degree
355,500,20.0,0.4,0.43480607072401245,distance
356,500,20.0,0.5,0.406988287200318,random
357,500,20.0,0.5,0.4467326670100418,ordered
358,500,20.0,0.5,0.40877242218428095,degree
359,500,20.0,0.5,0.4468532188811988,distance
360,500,20.0,0.0,0.012287860456270085,random
361,500,20.0,0.0,0.011350205323027324,ordered
362,500,20.0,0.0,0.010976978598169372,degree
363,500,20.0,0.0,0.013074444391953174,distance
364,500,20.0,0.1,0.09325287660405547,random
365,500,20.0,0.1,0.10337868931653951,ordered
366,500,20.0,0.1,0.09609025132281765,degree
367,500,20.0,0.1,0.21379562182291126,distance
368,500,20.0,0.2,0.1804985654406468,random
369,500,20.0,0.2,0.1900734818890411,ordered
370,500,20.0,0.2,0.18429260631201422,degree
371,500,20.0,0.2,0.34015939498847697,distance
372,500,20.0,0.30000000000000004,0.24804966675397586,random
373,500,20.0,0.30000000000000004,0.27881004336240994,ordered
374,500,20.0,0.30000000000000004,0.260149888570447,degree
375,500,20.0,0.30000000000000004,0.3981239868429144,distance
376,500,20.0,0.4,0.35211211429406974,random
377,500,20.0,0.4,0.3848891583496772,ordered
378,500,20.0,0.4,0.3540010592088653,degree
379,500,20.0,0.4,0.43261283539188017,distance
380,500,20.0,0.5,0.39771782424783386,random
381,500,20.0,0.5,0.4380423078779779,ordered
382,500,20.0,0.5,0.39673529686526254,degree
383,500,20.0,0.5,0.4468200107875499,distance
384,500,22.0,0.0,0.011152881144974326,random
385,500,22.0,0.0,0.015304449152701152,ordered
