,size,avg,pc,cl,count_p,count_c,slope
1093,615.0,5.9609756097560975,0.6,0.3316976935520288,1111.0,725.0,0.1330297269179724
1094,615.0,5.964227642276422,0.8,0.4673546816842729,875.0,961.0,0.09699544148815649
1095,615.0,5.9609756097560975,0.85,0.5014722887391269,789.0,1047.0,0.07503412934072377
1096,615.0,5.970731707317073,0.9,0.5194045746591631,733.0,1103.0,0.06818792500738784
1097,615.0,5.970731707317073,0.95,0.5637943815770193,672.0,1164.0,0.04819986600110335
1098,615.0,5.970731707317073,1.0,0.5861301929523961,616.0,1220.0,0.027045419056165688
1099,921.0,41.042345276872965,0.0,0.10101879897027541,18900.0,0.0,0.43733765191267154
1100,921.0,40.73615635179153,0.2,0.1567642521436621,15262.0,3638.0,0.42476953118781624
1101,921.0,40.52985884907709,0.4,0.1904265834355195,11743.0,7157.0,0.4305896151101466
1102,921.0,40.499457111834964,0.6,0.17772824928135014,8002.0,10898.0,0.4293212476857343
1103,921.0,40.74701411509229,0.8,0.16761927388902764,4665.0,14235.0,0.4385281261105812
1104,921.0,40.82084690553746,0.85,0.17493617555231802,3746.0,15154.0,0.4401011627933367
1105,921.0,40.87947882736157,0.9,0.1832406062575172,2921.0,15979.0,0.4442233262913914
1106,921.0,40.927252985884905,0.95,0.24560946457173607,2028.0,16872.0,0.3550932232571402
1107,921.0,41.011943539630835,1.0,0.3239821684596523,1179.0,17721.0,0.069675349658772
1108,694.0,7.953890489913545,0.0,0.04514313148613556,2760.0,0.0,0.27688100602655596
